P&ID_number,Type,Symbol_Class,Q_id,Question,GT,Cypher
0,Count,1,10,How many symbols are categorized as 1?,2,"MATCH (s:Symbol) 
WHERE s.class = 1 
RETURN count(s)"
0,Count,2,15,What's the count of symbols that are classified as 2?,4,"MATCH (s:Symbol) 
WHERE s.class = 2 
RETURN count(s)"
0,Count,3,11,What is the number of symbols in 3?,0,"MATCH (s:Symbol) 
WHERE s.class = 3 
RETURN count(s)"
0,Count,4,6,What's the number of symbols that fall under class 4?,3,"MATCH (s:Symbol) 
WHERE s.class = 4 
RETURN count(s)"
0,Count,5,18,How many 5 symbols are there?,1,"MATCH (s:Symbol) 
WHERE s.class = 5 
RETURN count(s)"
0,Count,6,5,Can you count the symbols that are in class 6?,3,"MATCH (s:Symbol) 
WHERE s.class = 6 
RETURN count(s)"
0,Count,7,19,How many symbols are there in the category of class 7?,5,"MATCH (s:Symbol) 
WHERE s.class = 7 
RETURN count(s)"
0,Count,8,6,What's the number of symbols that fall under class 8?,5,"MATCH (s:Symbol) 
WHERE s.class = 8 
RETURN count(s)"
0,Count,9,5,Can you count the symbols that are in class 9?,2,"MATCH (s:Symbol) 
WHERE s.class = 9 
RETURN count(s)"
0,Count,10,20,Can you provide the total count of symbols from class 10?,1,"MATCH (s:Symbol) 
WHERE s.class = 10 
RETURN count(s)"
0,Count,11,12,How many 11?,1,"MATCH (s:Symbol) 
WHERE s.class = 11 
RETURN count(s)"
0,Count,12,5,Can you count the symbols that are in class 12?,4,"MATCH (s:Symbol) 
WHERE s.class = 12 
RETURN count(s)"
0,Count,13,1,Can you tell me how many symbols are there in the 13 class?,2,"MATCH (s:Symbol) 
WHERE s.class = 13 
RETURN count(s)"
0,Count,14,4,Could you provide the count of symbols in class 14?,0,"MATCH (s:Symbol) 
WHERE s.class = 14 
RETURN count(s)"
0,Count,15,6,What's the number of symbols that fall under class 15?,1,"MATCH (s:Symbol) 
WHERE s.class = 15 
RETURN count(s)"
0,Count,16,6,What's the number of symbols that fall under class 16?,1,"MATCH (s:Symbol) 
WHERE s.class = 16 
RETURN count(s)"
0,Count,17,11,What is the number of symbols in 17?,2,"MATCH (s:Symbol) 
WHERE s.class = 17 
RETURN count(s)"
0,Count,18,18,How many 18 symbols are there?,4,"MATCH (s:Symbol) 
WHERE s.class = 18 
RETURN count(s)"
0,Count,19,16,How many symbols fall under the category of class 19?,1,"MATCH (s:Symbol) 
WHERE s.class = 19 
RETURN count(s)"
