P&ID_number,Type,Symbol_XX,Symbol_YY,Q_id,Question,GT,Cypher
0,Spatial-Count,28,32,20,What is the total count of symbols with class 28 that are directly connected to symbols with class 32?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 32 AND s1.class = 28 
RETURN COUNT(s1)"
0,Spatial-Count,17,25,20,What is the total count of symbols with class 17 that are directly connected to symbols with class 25?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 25 AND s1.class = 17 
RETURN COUNT(s1)"
0,Spatial-Count,20,24,17,"How many symbols are directly connected to symbols of class 24, given that they belong to class 20?",1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 24 AND s1.class = 20 
RETURN COUNT(s1)"
0,Spatial-Count,6,20,1,How many symbols with class 6 are linked directly to symbols with class 20?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 20 AND s1.class = 6 
RETURN COUNT(s1)"
0,Spatial-Count,25,32,1,How many symbols with class 25 are linked directly to symbols with class 32?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 32 AND s1.class = 25 
RETURN COUNT(s1)"
0,Spatial-Count,7,9,16,What is the count of 7 symbols directly linked to 9?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 9 AND s1.class = 7 
RETURN COUNT(s1)"
0,Spatial-Count,16,13,8,Count the symbols with class 16 that are directly linked to symbols with class 13,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 13 AND s1.class = 16 
RETURN COUNT(s1)"
0,Spatial-Count,20,6,6,What is the number of symbols with class 20 that have direct connections to symbols with class 6?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 6 AND s1.class = 20 
RETURN COUNT(s1)"
0,Spatial-Count,23,8,8,Count the symbols with class 23 that are directly linked to symbols with class 8,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 8 AND s1.class = 23 
RETURN COUNT(s1)"
0,Spatial-Count,4,18,4,How many symbols categorized as class 4 are directly linked to symbols categorized as class 18?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 18 AND s1.class = 4 
RETURN COUNT(s1)"
0,Spatial-Count,6,20,6,What is the number of symbols with class 6 that have direct connections to symbols with class 20?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 20 AND s1.class = 6 
RETURN COUNT(s1)"
0,Spatial-Count,32,8,16,What is the count of 32 symbols directly linked to 8?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 8 AND s1.class = 32 
RETURN COUNT(s1)"
0,Spatial-Count,20,24,7,How many symbols from class 20 are directly connected to symbols from class 24?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 24 AND s1.class = 20 
RETURN COUNT(s1)"
0,Spatial-Count,4,18,12,Count the number of 4 symbols that are directly connected to 18 symbols,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 18 AND s1.class = 4 
RETURN COUNT(s1)"
0,Spatial-Count,9,7,6,What is the number of symbols with class 9 that have direct connections to symbols with class 7?,1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 7 AND s1.class = 9 
RETURN COUNT(s1)"
0,Spatial-Count,7,20,18,"Count the symbols that are directly linked to symbols of class 20, with 7",1,"MATCH (s1:Symbol)-[:CONNECTED_TO]-(s2:Symbol) 
WHERE s2.class = 20 AND s1.class = 7 
RETURN COUNT(s1)"
