P&ID_number,Type,Symbol_Class,Prefix,Q_id,Question,GT,Cypher
0,Value-Based,31,ZLO,6,Give me the class 31 symbols' tags that begin with ZLO,['ZLO 433'],"MATCH (s:Symbol) 
WHERE s.class = 31 AND s.tag STARTS WITH ZLO 
RETURN s.tag"
0,Value-Based,25,ERV,9,"Given the start of tag ERV, find all the tags of class 25  that satisifies the condition","['ERV-8-20', 'ERV-1-38', 'ERV-6-34', 'ERV-2-05']","MATCH (s:Symbol) 
WHERE s.class = 25 AND s.tag STARTS WITH ERV 
RETURN s.tag"
0,Value-Based,27,RO,10,Can you return a list of class 27 symbols tags beginning with RO?,['RO-10 653'],"MATCH (s:Symbol) 
WHERE s.class = 27 AND s.tag STARTS WITH RO 
RETURN s.tag"
0,Value-Based,6,KL,15,List the tags for 6 symbols whose tags start from KL,"['KL-04357', 'KL-53281', 'KL-70233']","MATCH (s:Symbol) 
WHERE s.class = 6 AND s.tag STARTS WITH KL 
RETURN s.tag"
0,Value-Based,12,WX,4,List all tag for symbols classified as 12 that have WX in the start,"['WX-50020', 'WX-71994', 'WX-16653', 'WX-99666']","MATCH (s:Symbol) 
WHERE s.class = 12 AND s.tag STARTS WITH WX 
RETURN s.tag"
0,Value-Based,2,CD,11,Provide the list of 2 symbols' tags having CD in the beginning,"['CD-26701', 'CD-95861', 'CD-31021', 'CD-85991']","MATCH (s:Symbol) 
WHERE s.class = 2 AND s.tag STARTS WITH CD 
RETURN s.tag"
0,Value-Based,8,OP,8,What are the class 8 symbols with tags starting from OP?,"['OP-44323', 'OP-31663', 'OP-94834', 'OP-39294', 'OP-33673']","MATCH (s:Symbol) 
WHERE s.class = 8 AND s.tag STARTS WITH OP 
RETURN s.tag"
0,Value-Based,23,INS,17,Return all tags for symbols of class 23 with tags beginning with INS,"['INS ( 45°C )', 'INS ( 20°C )', 'INS ( 54°C )']","MATCH (s:Symbol) 
WHERE s.class = 23 AND s.tag STARTS WITH INS 
RETURN s.tag"
0,Value-Based,23,INS,10,Can you return a list of class 23 symbols tags beginning with INS?,"['INS ( 45°C )', 'INS ( 20°C )', 'INS ( 54°C )']","MATCH (s:Symbol) 
WHERE s.class = 23 AND s.tag STARTS WITH INS 
RETURN s.tag"
0,Value-Based,2,CD,12,Which tags of class 2 starts with CD?,"['CD-26701', 'CD-95861', 'CD-31021', 'CD-85991']","MATCH (s:Symbol) 
WHERE s.class = 2 AND s.tag STARTS WITH CD 
RETURN s.tag"
0,Value-Based,10,ST,17,Return all tags for symbols of class 10 with tags beginning with ST,['ST-05757'],"MATCH (s:Symbol) 
WHERE s.class = 10 AND s.tag STARTS WITH ST 
RETURN s.tag"
0,Value-Based,31,ZLC,18,Can you list all the tags of class 31 symbols where tags start with ZLC?,['ZLC 764'],"MATCH (s:Symbol) 
WHERE s.class = 31 AND s.tag STARTS WITH ZLC 
RETURN s.tag"
0,Value-Based,9,QR,20,Enlist all class 9 symbols where the tag prefix matches QR,"['QR-03776', 'QR-29804']","MATCH (s:Symbol) 
WHERE s.class = 9 AND s.tag STARTS WITH QR 
RETURN s.tag"
0,Value-Based,16,RV,7,Fetch all class 16 symbols tags that is prefix with RV,['RV-63115'],"MATCH (s:Symbol) 
WHERE s.class = 16 AND s.tag STARTS WITH RV 
RETURN s.tag"
0,Value-Based,23,INS,14,Can you extract all tags from class 23 symbols having INS in the start?,"['INS ( 45°C )', 'INS ( 20°C )', 'INS ( 54°C )']","MATCH (s:Symbol) 
WHERE s.class = 23 AND s.tag STARTS WITH INS 
RETURN s.tag"
0,Value-Based,2,CD,5,Enumerate tags for 2 symbols that starts with CD as prefix?,"['CD-26701', 'CD-95861', 'CD-31021', 'CD-85991']","MATCH (s:Symbol) 
WHERE s.class = 2 AND s.tag STARTS WITH CD 
RETURN s.tag"
0,Value-Based,1,AB,17,Return all tags for symbols of class 1 with tags beginning with AB,"['AB-66440', 'AB-38116']","MATCH (s:Symbol) 
WHERE s.class = 1 AND s.tag STARTS WITH AB 
RETURN s.tag"
